id,user_id,meal_type,total_calories,total_protein,total_carbs,total_fat,satisfaction,created_at
59d38ed4-1ea6-4bb6-bb19-51d7be75392f,bb8fe9cf-19db-42ac-bcee-f216f1d0c6f7,lunch,900,37.7,93.2,7.0,medium,2025-04-04T00:01:14.230312
e8473f3b-136a-4f20-ac9f-52c22ddc2308,bb8fe9cf-19db-42ac-bcee-f216f1d0c6f7,dinner,319,18.7,59.3,16.7,medium,2025-04-15T00:01:14.230333
3088cc85-0c57-44ec-9ecf-037e32d00340,bb8fe9cf-19db-42ac-bcee-f216f1d0c6f7,snack,355,13.9,67.0,18.1,low,2025-04-03T00:01:14.230342
ef991661-2f51-4fd3-b42c-cd7307f9b33b,16974410-b71a-45f9-aa8e-acd20b711737,dinner,680,33.9,98.2,16.8,medium,2025-04-08T00:01:14.230351
9c2f5b72-27f8-4dae-a8ec-89ab2b0b72bd,16974410-b71a-45f9-aa8e-acd20b711737,dinner,722,8.0,99.3,20.6,low,2025-04-13T00:01:14.230358
c96dd984-c60b-424d-864c-684a9ab49f12,16974410-b71a-45f9-aa8e-acd20b711737,dinner,667,22.7,29.4,9.6,low,2025-04-11T00:01:14.230367
e88ded32-efbd-40b2-ae24-4833d73afca5,16974410-b71a-45f9-aa8e-acd20b711737,dinner,770,22.8,39.8,17.7,medium,2025-04-04T00:01:14.230375
6fc46793-ac6b-44d4-b5b1-0dbbcec71d79,16974410-b71a-45f9-aa8e-acd20b711737,dinner,771,14.1,52.0,10.9,low,2025-04-19T00:01:14.230382
951bbadb-f078-4934-8191-a18d216caa03,02352d6f-d182-466b-9321-bf8f7c604b43,dinner,285,38.3,40.1,23.3,medium,2025-04-18T00:01:14.230390
8be517fa-37b9-489c-8717-0f5c011efb9a,02352d6f-d182-466b-9321-bf8f7c604b43,snack,603,39.9,27.4,26.7,medium,2025-04-19T00:01:14.230397
3b63da78-047f-4133-bd6d-54a302cef7cd,02352d6f-d182-466b-9321-bf8f7c604b43,lunch,339,12.4,84.2,15.2,medium,2025-04-13T00:01:14.230403
9ccef4b8-135f-43ca-9e9e-0b35e941ab4b,02352d6f-d182-466b-9321-bf8f7c604b43,dinner,408,18.2,43.3,13.1,medium,2025-04-10T00:01:14.230411
6a11d1d7-7ac0-4bff-bd73-766211e7b5e6,02352d6f-d182-466b-9321-bf8f7c604b43,lunch,690,26.6,88.0,18.2,low,2025-03-31T00:01:14.230417
30c8d682-5b3a-4b2a-bb1e-ae2f1a1beb85,02352d6f-d182-466b-9321-bf8f7c604b43,dinner,509,28.5,72.2,26.3,low,2025-03-28T00:01:14.230424
8e4de9d9-eb96-4be6-b567-52b2d1b4fcad,7af66694-961f-4ac2-8911-d5402d1af23d,snack,596,27.9,88.7,20.3,high,2025-04-19T00:01:14.230433
201ff9a2-5aaa-417e-bb42-452957363ec6,7af66694-961f-4ac2-8911-d5402d1af23d,snack,664,28.0,98.2,24.4,medium,2025-04-23T00:01:14.230440
559278c9-5a7a-43de-bff2-75e318ead4b0,7af66694-961f-4ac2-8911-d5402d1af23d,breakfast,699,36.8,90.2,29.0,low,2025-04-05T00:01:14.230447
d9dd7b3b-497a-4ba5-8180-0714043c9368,7af66694-961f-4ac2-8911-d5402d1af23d,snack,381,5.4,33.8,29.7,low,2025-04-07T00:01:14.230454
b54ef7a4-8fc8-4a74-a825-21552aa51b1b,7af66694-961f-4ac2-8911-d5402d1af23d,breakfast,721,17.9,27.5,18.7,low,2025-03-30T00:01:14.230462
1808cb1c-924c-42e6-a6e4-5292b37d8672,7af66694-961f-4ac2-8911-d5402d1af23d,snack,525,5.9,61.7,13.5,low,2025-03-25T00:01:14.230469
53db8d5d-9894-4f7a-adbc-17670b9ee328,5b1a599b-beb6-41ed-8c31-fc641bcf3115,dinner,858,37.5,41.9,13.4,high,2025-04-21T00:01:14.230477
653cc854-8f61-4366-9fd2-625a64027ad7,5b1a599b-beb6-41ed-8c31-fc641bcf3115,breakfast,340,33.5,84.8,22.9,medium,2025-04-23T00:01:14.230483
7e7d758d-2119-42ce-ac37-ee258d8c3cad,5b1a599b-beb6-41ed-8c31-fc641bcf3115,breakfast,561,18.4,23.0,25.5,high,2025-04-11T00:01:14.230490
7fa9a8ae-58c5-49aa-a057-53d1455788ae,5b1a599b-beb6-41ed-8c31-fc641bcf3115,breakfast,743,30.3,37.0,15.9,medium,2025-03-28T00:01:14.230498
594b6f2f-a625-4634-a978-37e65cc4d68e,c0ac17f3-03b9-4028-b637-50abc9829c5c,lunch,776,32.0,56.3,24.8,high,2025-04-16T00:01:14.230506
b1b74f08-5a81-4eb6-a2c1-28f1a73e1438,c0ac17f3-03b9-4028-b637-50abc9829c5c,dinner,389,37.3,68.6,29.3,low,2025-03-31T00:01:14.230513
f0f53157-7178-498c-88c1-c8ad3891c0dc,c0ac17f3-03b9-4028-b637-50abc9829c5c,dinner,341,6.8,54.0,12.4,low,2025-04-23T00:01:14.230520
aa486eb3-b6c5-4348-8e12-a37e2db879ec,c0ac17f3-03b9-4028-b637-50abc9829c5c,dinner,258,29.9,77.9,26.3,medium,2025-04-06T00:01:14.230527
147fc52e-348e-4959-b665-4664ad9f48a9,c0ac17f3-03b9-4028-b637-50abc9829c5c,lunch,338,28.9,83.9,16.4,low,2025-04-04T00:01:14.230533
7dff397f-3f60-4f62-83c3-a2e067243bb4,e28aa6ad-984d-4e6d-95ba-be220cdee939,snack,662,16.1,76.1,15.1,high,2025-04-14T00:01:14.230541
450a4d1b-478c-4342-9d70-c25b91edad20,e28aa6ad-984d-4e6d-95ba-be220cdee939,dinner,351,23.9,22.2,9.2,low,2025-04-14T00:01:14.230548
a6fc7f55-5906-492e-9f5a-b61569df64ef,e28aa6ad-984d-4e6d-95ba-be220cdee939,lunch,575,25.6,67.9,15.2,low,2025-03-28T00:01:14.230555
